,corporate_brand,material_type,level,date,snapshot_date,Brand_ΔFIP_%,Brand_Abs_Impact,Brand_MT_Abs_Impact,Net_vs_Abs_Ratio,Signal_SKU_%,Impact_from_Signal_%,Top_5_SKU_%,Plant_Concentration_%,Qty_Impact_%,Cost_Impact_%,Weighted_Dominance,Driver_Conflict_%,Avg_Persistence,Structural_Shift_Index,ProductType_Impact_%,Actionability_Index,Ownership_Clarity_Index,Explainability_Score
88,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-11-28,-0.9204814735947777,,1706243.6039162488,0.9204814735947777,0.8738738738738738,0.17602176004117756,0.9847064622064485,0.9057726403253419,1.0,-0.0,1.0,0.24742268041237114,0.5495495495495496,0.010309278350515464,1.0495814047317036,0.17332976460150037,1.0,0.7617504527504473
89,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-12-05,-0.9794407647889615,,63151617.60968055,0.9794407647889615,0.8165137614678899,0.011304661716156366,1.0159048535810389,1.011188905430908,1.0,-0.0,1.0,0.47191011235955055,0.8348623853211009,0.011235955056179775,0.9530142161200845,0.011484460705535009,1.0,0.7607961921969416
90,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-12-12,0.9990990528268847,,676392958.2673709,0.9990990528268847,0.8495575221238938,0.002393079574327643,1.0004114315609833,1.0000989192984713,1.0,0.0,1.0,0.2708333333333333,0.46017699115044247,0.0,0.9976776267828034,0.0023940641627924657,1.0,0.755326814512299
91,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-12-17,0.9985716648800046,,676620155.2546128,0.9985716648800046,0.6875,0.0021787166527142744,1.0001890449286746,0.9996956589844942,1.0,0.0,1.0,0.4805194805194805,0.9375,0.025974025974025976,1.001670415186847,0.002179128528048489,1.0,0.7063256179714699
92,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-12-19,0.27369807167673077,,317852.7544477088,0.27369807167673077,0.8198198198198198,1.1716031653340444,2.3594560322291582,3.1395973910500303,1.0,0.0,1.0,0.3076923076923077,0.7657657657657657,0.06593406593406594,0.11993870145736381,2.764346155826187,1.0,1.297235866345117
93,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-12-26,-0.8495649129704438,,303903.29425515723,0.8495649129704438,0.8378378378378378,0.7493224521030982,1.1038621822598527,1.1697483831401145,1.0,-0.0,1.0,0.17204301075268819,0.34234234234234234,0.0,0.16878086024669028,0.82714871719483,1.0,0.7880914194504877
94,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2026-01-02,0.9997512168354913,,814419742.5459857,0.9997512168354913,0.9107142857142857,0.9996278435654472,0.9956730758635024,0.9958205084893654,0.00033550106850695026,0.999161790239745,-0.9981528595338721,0.5294117647058824,0.5714285714285714,0.0,0.9948418846333794,0.9953025297216088,0.9988262891712381,0.7816025636787344
95,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2026-01-09,-0.9995629927555402,,1486366613.4243665,0.9995629927555402,0.8198198198198198,0.0007865761444392728,1.0000443530714547,0.9995939218638512,1.0,-0.0,1.0,0.26373626373626374,0.5045045045045045,0.0,0.995806823822281,0.0007866110315072117,1.0,0.7447624859733266
96,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2026-01-16,0.7186619653616075,,5715139.794418389,0.7186619653616075,0.8899082568807339,0.5680070684309046,1.184535196710302,1.0290498450124905,1.0,0.0,1.0,0.41237113402061853,0.5412844036697247,0.0,0.4417920177403404,0.6728243645366436,1.0,0.8478201948920719
97,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2026-01-23,-0.9806636773864347,,681738300.1930754,0.9806636773864347,0.7155963302752294,0.009253677805714334,1.0145546437499315,1.0143964002612862,1.0084422054415654,-1.2169203336249,-0.09162757875029326,0.6282051282051282,0.9724770642201835,0.01282051282051282,1.0074966759010542,0.009388361789553153,2.2253625390664653,0.7244762917507371
